,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADM1_NAME,,ISO3,ADM1_PCODE,,Malaria prevalence,Historic Drought Frequency,Landslide exposure - high,Landslide exposure - medium or high,Cyclone exposure,Burned Area,Fire Weather Index,Density of health facilities,Number of Events,Number of Fatalities,Internal Displaced People,Conflict Barometer,Volcano exposure,Food Security - Insufficient food,Soil Erosion,Storm exposure,Food Security - IPC Classification,Human Development Index,Gender Development Index,Mean years at school,Life Expectancy,Gross National Income per capita,Subnational Corruption Index,Wealth Inequality,Dependency Ratio,Urban Population,Neonatal mortality,Infant mortality,Child mortality,Children Underweight,BCG Immunization Coverage,DTP3 Immunization Coverage,Measles Immunization Coverage,International Wealth Index,Access to electricity,Internet access,Cellphone ownership,Multidimensional Poverty Index,Coastal Erosion,,,,,,,,,,,,,,
Indicator ID,,,,,,VU.VG.HC-MALAPREV,HA.NAT.DR-FRE,,,HA.NAT.ST-TC,HA.NAT.WF-BURN,HA.NAT.WF-FWI,CC.INF.HC-FAC,HA.HUM.VIO-EVE,HA.HUM.VIO-FAT,VU.VG.DP-IDP,HA.HUM.CI-CBAR,HA.NAT.VC-EXP,VU.SE.LV-FS,HA.NAT.DE-ERO,HA.NAT.ST-ST,VU.SE.LV-IPC,VU.SE.POV-HDI,VU.SE.POV-GDI,CC.INF.EDU-YRS,VU.VG.HC-LEXP,CC.INF.ECO-GDP,CC.INS.GOV-SCI,VU.SE.POV-GINI,VU.SE.DEP-DR,VU.SE.HAB-URB,VU.VG.CH-MORTNEO,VU.VG.CH-MORTINF,VU.VG.CH-MORTCH,VU.VG.CH-UW,CC.INF.HC-BCG,CC.INF.HC-DTP,CC.INF.HC-MEASLES,CC.INF.ECO-IWI,CC.INF.COM-ELEC,CC.INF.COM-INT,CC.INF.COM-PHONE,VU.SE.POV-MPI,HA.NAT.CH-ERO,,,,,,,,,,,,,,
Duplicated indicator check,,,,,,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Duplicate,,,,,,,,,,,,,,
Component,,,,,,Health Conditions,Drought,,,Storms & Cyclone,Wildfire,Wildfire,Access to health care,Internal Violence,Internal Violence,Displaced People,Conflict Intensity,Volcano,Livelihoods,Environmental Degradation,Storms & Cyclone,Livelihoods,Development & Poverty,Development & Poverty,Education,Health Conditions,Economic capacity,Governance,Development & Poverty,Economic Dependency,Habitat,Children Health and Nutrition,Children Health and Nutrition,Children Health and Nutrition,Children Health and Nutrition,Access to health care,Access to health care,Access to health care,Economic capacity,Communication,Communication,Communication,Development & Poverty,Coastal hazards,,,,,,,,,,,,,,
Category,,,,,,Vulnerable Groups,Natural,,,Natural,Natural,Natural,Infrastructure,Human,Human,Vulnerable Groups,Human,Natural,Socio-Economics,Natural,Natural,Socio-Economics,Socio-Economics,Socio-Economics,Infrastructure,Vulnerable Groups,Infrastructure,Institutional,Socio-Economics,Socio-Economics,Socio-Economics,Vulnerable Groups,Vulnerable Groups,Vulnerable Groups,Vulnerable Groups,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Socio-Economics,Natural,,,,,,,,,,,,,,
Dimension,,,,,,Vulnerability,Hazards & Exposure,,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Coping Capacity,Hazards & Exposure,Hazards & Exposure,Vulnerability,Hazards & Exposure,Hazards & Exposure,Vulnerability,Hazards & Exposure,Hazards & Exposure,Vulnerability,Vulnerability,Vulnerability,Coping Capacity,Vulnerability,Coping Capacity,Coping Capacity,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Vulnerability,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Coping Capacity,Vulnerability,Hazards & Exposure,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,Subnational,,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2022,1984-2023,,,2023,2019-2023,2022,2019,2020-2024,2020-2024,2023,2022,unknown,2022-2024,Unknown (prep2017),2023,2022-2024,2022,2022,2022,2022,2022,2022,2011 - 2022,2011 - 2022,2013 - 2022,2006 - 2021,2011 - 2022,2006 - 2021,2000 - 2022,2006 - 2021,2006 - 2021,2006 - 2021,2013 - 2022,2013 - 2022,2011 - 2022,2011 - 2022,2012-2021,2000 - 2022,,,,,,,,,,,,,,
Unit of Measurament,,,,,,max malaria prevalence per person,years,% Pop exposed to high landslide risk,% Pop exposed to med or high landslide risk,%,%,index,per capita,Number,Number,number of people,Index,index,% pop phase 2 or higher,Mg/ha/yr,%,0,index,index,years,years,Log - Thousands of US$,index,index,ratio,%,"per 1,000 live births ","per 1,000 live births ","per 1,000 live births ",%,%,%,%,index,%,%,%,index,meters / year,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,,TZA,TZ01,,0.20,11,0.28,3.15,0,4,104,349,3,0,0,0,0,149,4.8,0.0,,0.47,0.94,4.58,63.94,7.29,75.2,0.41,111.30,17.27,38.13,60.81,39.75,15.80,100.00,98.60,98.40,19.11,4.88,No data,61.66,0.332,,,,,,,,,,,,,,,
United Republic of Tanzania,Arusha,,TZA,TZ02,,0.17,17,0.50,5.49,No data,3,89,269,13,3,0,0,4,62,9.6,0.0,,0.54,0.96,5.53,72.08,7.64,72.7,0.39,98.30,21.72,26.82,37.06,8.36,18.70,96.10,97.20,85.70,29.32,21.14,No data,80.12,0.201,,,,,,,,,,,,,,,
United Republic of Tanzania,Kilimanjaro,,TZA,TZ03,,0.19,6,1.08,9.98,No data,5,81,334,9,3,0,0,0,0,8.4,0.0,,0.60,0.97,6.58,71.29,8.10,74.9,0.29,78.50,28.92,30.36,41.93,8.13,8.90,100.00,97.70,95.70,42.66,41.45,No data,88.48,0.201,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,,TZA,TZ04,,0.25,11,0.42,7.71,0,6,67,346,10,8,0,0,0,85,8.6,0.0,,0.54,0.95,5.32,68.91,7.83,75.1,0.37,83.30,35.86,19.67,36.84,28.43,13.50,95.90,92.20,90.10,35.00,28.21,No data,87.27,0.201,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,,TZA,TZ05,,0.28,6,2.28,13.25,0,34,63,332,11,7,0,0,0,0,6.8,0.0,,0.51,0.94,5.41,68.58,7.56,77.2,0.44,95.70,29.56,10.05,38.90,28.53,11.10,100.00,90.90,90.40,26.90,17.24,No data,71.66,0.141,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,,TZA,TZ06,,0.25,9,0.00,0.01,0,19,61,286,8,10,0,0,0,0,5.2,0.0,,0.49,0.91,4.84,65.01,7.59,76,0.36,101.00,33.11,38.20,56.91,35.44,12.00,98.10,92.10,84.30,27.79,15.18,No data,87.93,0.141,,,,,,,,,,,,,,,
United Republic of Tanzania,Dar-es-salaam,,TZA,TZ07,,0.21,19,0.00,0.00,0,2,0,230,29,5,0,0,0,0,9.9,0.0,,0.62,0.92,8.54,64.47,8.56,69.4,0.20,55.00,100.00,49.01,73.48,22.39,6.20,98.10,95.40,94.20,56.16,74.47,No data,96.58,0.141,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,,TZA,TZ08,,0.30,5,0.00,0.00,0,46,77,231,5,1,0,0,0,0,3.3,0.0,,0.48,0.95,4.64,66.64,7.41,79.5,0.35,94.50,20.76,49.95,66.33,13.60,10.40,100.00,88.40,90.20,22.75,9.78,No data,74.68,0.288,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,,TZA,TZ09,,0.33,5,0.00,0.00,0,23,76,205,28,49,291,0,0,0,3.5,1.2,,0.48,0.93,4.65,66.62,7.43,76.8,0.38,87.00,21.86,44.82,71.05,8.73,15.70,97.90,92.50,88.50,23.28,11.92,No data,70.32,0.288,,,,,,,,,,,,,,,
United Republic of Tanzania,Ruvuma,,TZA,TZ10,,0.32,5,0.39,7.89,0,39,84,287,3,5,0,0,0,0,4.0,0.0,,0.52,0.95,5.70,68.51,7.57,77.7,0.38,94.40,27.78,29.43,43.37,24.43,12.30,100.00,96.90,90.10,27.29,14.25,No data,73.51,0.236,,,,,,,,,,,,,,,
United Republic of Tanzania,Iringa,,TZA,TZ11,,0.24,5,0.97,11.81,0,22,90,224,6,0,0,0,0,0,7.1,0.0,,0.54,0.95,5.80,68.90,7.69,77.7,0.38,92.60,29.54,30.86,47.61,17.50,11.00,98.80,96.40,91.10,30.78,24.33,No data,78.17,0.236,,,,,,,,,,,,,,,
United Republic of Tanzania,Mbeya,,TZA,TZ12,,0.25,5,1.90,7.22,0,26,95,253,10,1,0,0,2,0,6.7,0.0,,0.51,0.93,5.75,64.37,7.56,76.1,0.42,98.50,30.07,39.14,76.57,19.94,12.40,97.80,95.70,86.20,26.91,17.11,No data,74.80,0.318,,,,,,,,,,,,,,,
United Republic of Tanzania,Singida,,TZA,TZ13,,0.21,10,0.00,0.02,0,27,118,215,1,0,0,0,0,53,2.5,0.0,,0.52,0.95,5.22,71.19,7.43,77.9,0.38,114.10,12.35,14.86,28.27,22.71,12.00,95.90,91.90,86.20,23.35,11.59,No data,74.80,0.332,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,,TZA,TZ14,,0.34,6,0.00,0.00,0,21,120,283,4,1,0,0,0,57,2.2,0.0,,0.45,0.93,3.94,67.70,7.48,79.2,0.34,121.00,12.97,23.50,40.81,32.51,9.90,91.10,69.90,70.60,24.62,10.56,No data,78.31,0.39,,,,,,,,,,,,,,,
United Republic of Tanzania,Rukwa,,TZA,TZ15,,0.31,6,0.55,3.84,0,15,95,203,4,0,146,0,0,0,6.8,0.0,,0.45,0.91,4.72,64.20,7.32,70.1,0.44,119.20,22.44,40.88,62.54,35.95,19.70,91.60,80.40,80.20,20.02,8.70,No data,57.09,0.318,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,,TZA,TZ16,,0.37,5,0.59,2.60,0,28,81,246,57,23,0,0,0,0,4.9,0.0,,0.49,0.91,4.58,68.66,7.41,75.7,0.39,116.10,15.14,27.27,40.15,26.71,20.00,96.20,90.20,88.70,22.52,9.39,No data,65.64,0.39,,,,,,,,,,,,,,,
United Republic of Tanzania,Shinyanga,,TZA,TZ17,,0.33,7,0.00,0.00,No data,2,104,189,4,1,0,0,0,74,3.2,0.0,,0.48,0.91,4.54,65.15,7.53,74,0.36,116.50,10.78,27.52,57.27,34.01,12.40,94.00,79.20,71.50,26.14,12.27,No data,79.75,0.39,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,,TZA,TZ18,,0.29,5,0.00,0.05,No data,13,58,277,4,2,0,0,0,0,12.6,0.0,,0.49,0.94,4.82,65.36,7.40,78.3,0.38,107.30,9.75,18.18,54.43,35.37,17.40,100.00,97.10,97.40,22.37,10.37,No data,71.95,0.346,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,,TZA,TZ19,,0.20,5,0.00,0.00,No data,1,68,294,17,4,0,0,0,47,7.1,0.0,,0.49,0.91,4.92,65.83,7.53,76.5,0.39,111.10,33.50,24.57,43.96,42.48,15.20,90.40,84.00,83.60,26.22,15.61,No data,76.55,0.346,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,,TZA,TZ20,,0.28,7,0.01,0.27,No data,31,57,245,9,5,0,0,0,0,7.0,0.0,,0.51,0.91,5.54,64.53,7.54,73,0.37,121.80,21.78,22.28,57.85,38.20,10.50,97.40,92.00,87.00,26.46,15.83,No data,79.45,0.346,,,,,,,,,,,,,,,
United Republic of Tanzania,Manyara,,TZA,TZ21,,0.18,14,0.70,4.28,0,6,94,184,7,2,0,0,0,102,3.6,0.0,,0.54,0.96,5.53,72.08,7.64,72.7,0.39,98.30,21.72,26.82,37.06,8.36,18.70,96.10,97.20,85.70,29.32,21.14,No data,80.12,0.332,,,,,,,,,,,,,,,
United Republic of Tanzania,Njombe,,TZA,TZ22,,0.22,6,0.69,8.63,0,22,70,252,3,3,0,0,0,0,15.9,0.0,,0.54,0.95,5.80,68.90,7.69,77.7,0.38,92.60,29.54,30.86,47.61,17.50,11.00,98.80,96.40,91.10,30.78,24.33,No data,78.17,0.236,,,,,,,,,,,,,,,
United Republic of Tanzania,Katavi,,TZA,TZ23,,0.28,5,0.38,1.67,0,49,105,76,4,1,0,0,0,0,1.7,0.0,,0.45,0.91,4.72,64.20,7.32,70.1,0.44,119.20,22.44,40.88,62.54,35.95,19.70,91.60,80.40,80.20,20.02,8.70,No data,57.09,0.318,,,,,,,,,,,,,,,
United Republic of Tanzania,Simiyu,,TZA,TZ24,,0.19,5,0.00,0.01,No data,28,113,197,1,0,0,0,0,142,3.7,0.0,,0.48,0.91,4.54,65.15,7.53,74,0.36,116.50,10.78,27.52,57.27,34.01,12.40,94.00,79.20,71.50,26.14,12.27,No data,79.75,0.346,,,,,,,,,,,,,,,
United Republic of Tanzania,Geita,,TZA,TZ25,,0.29,8,0.00,0.00,No data,17,80,129,17,10,0,0,0,0,4.1,0.0,,0.49,0.91,4.92,65.83,7.53,76.5,0.39,111.10,33.50,24.57,43.96,42.48,15.20,90.40,84.00,83.60,26.22,15.61,No data,76.55,0.346,,,,,,,,,,,,,,,
United Republic of Tanzania,Songwe,,TZA,TZ26,,0.22,5,0.38,5.17,0,27,90,167,5,2,0,0,0,0,3.9,0.0,,0.51,0.93,5.75,64.37,7.56,76.1,0.42,98.50,30.07,39.14,76.57,19.94,12.40,97.80,95.70,86.20,26.91,17.11,No data,74.80,0.318,,,,,,,,,,,,,,,
United Republic of Tanzania,Kaskazini Unguja,,TZA,TZ51,,0.12,9,0.00,0.00,0,1,0,25,5,1,30080,0,0,0,5.6,0.0,,0.55,0.95,4.96,69.30,7.89,68,0.23,89.30,7.46,39.60,58.29,3.68,13.30,99.10,96.10,90.90,36.62,17.56,No data,90.79,0.132,,,,,,,,,,,,,,,
United Republic of Tanzania,Kusini Unguja,,TZA,TZ52,,0.13,7,0.00,0.00,0,0,0,33,6,5,0,0,0,0,5.6,0.0,,0.60,0.95,6.95,71.31,8.12,67.2,0.22,94.40,6.30,19.88,44.73,5.10,19.10,100.00,96.40,97.50,43.25,31.68,No data,92.29,0.132,,,,,,,,,,,,,,,
United Republic of Tanzania,Mjini Magharibi,,TZA,TZ53,,0.13,5,0.00,0.00,0,0,0,26,4,0,0,0,0,0,5.6,0.0,,0.68,0.95,8.71,70.19,8.97,66.8,0.16,65.90,51.28,33.72,47.51,9.24,8.80,100.00,97.60,92.90,67.88,80.76,No data,98.82,0.132,,,,,,,,,,,,,,,
United Republic of Tanzania,Kaskazini Pemba,,TZA,TZ54,,0.11,12,0.00,0.00,0,0,0,32,10,5,0,0,0,0,4.8,0.0,,0.53,0.91,4.43,70.14,7.95,68.3,0.29,110.10,15.55,14.70,39.32,18.03,18.00,95.90,83.20,80.10,38.34,21.70,No data,87.70,0.132,,,,,,,,,,,,,,,
United Republic of Tanzania,Kusini Pemba,,TZA,TZ55,,0.12,9,0.00,0.00,0,0,0,29,1,0,0,0,0,0,4.8,0.0,,0.57,0.94,5.29,70.94,8.06,64.9,0.28,105.40,23.61,23.31,34.59,17.85,12.90,97.20,90.40,85.20,41.41,27.33,No data,88.71,0.132,,,,,,,,,,,,,,,
